LATITUDE,LONGITUDE,ALTITUDE
50.0,-126.1,1055.0
50.2,-125.9,377.0
49.8,-125.2,141.0
49.8,-126.2,545.0
49.9,-125.3,135.0
50.1,-125.3,0.0
49.6,-125.6,1490.0
50.5,-126.6,0.0
50.0,-126.8,733.0
49.8,-126.5,32.0
49.7,-125.6,1437.0
50.3,-127.1,441.0
50.2,-127.1,562.0
54.1,-121.8,682.0
54.2,-122.1,610.0
54.0,-122.8,757.0
54.0,-122.7,571.0
53.6,-121.6,1388.0
53.0,-119.5,828.0
53.0,-119.3,793.0
53.0,-119.4,1626.0
52.8,-119.5,2353.0
52.3,-119.2,1413.0
52.7,-118.6,1762.0
52.3,-119.1,1698.0
52.7,-118.5,1431.0
52.5,-119.3,1241.0
50.1,-126.9,911.0
50.2,-127.0,144.0
50.2,-126.9,715.0
50.0,-127.0,441.0
50.1,-126.8,573.0
50.2,-126.1,754.0
49.9,-126.7,619.0
50.0,-126.9,799.0
50.2,-127.3,298.0
49.9,-127.0,75.0
50.4,-125.4,36.0
50.1,-127.0,702.0
49.7,-125.7,758.0
50.4,-126.4,1004.0
52.3,-118.6,1308.0
53.2,-119.9,1164.0
53.4,-120.4,888.0
52.7,-119.0,1374.0
52.3,-119.3,1540.0
52.8,-119.4,1467.0
52.8,-119.3,944.0
52.8,-118.6,1264.0
52.7,-119.5,1654.0
52.7,-119.2,1912.0
52.5,-119.1,896.0
52.8,-119.2,763.0
53.5,-120.6,750.0
52.8,-119.1,1802.0
52.7,-119.1,1507.0
52.2,-118.6,1693.0
52.2,-118.5,1297.0
52.7,-119.3,1541.0
50.7,-126.3,244.0
50.7,-126.2,19.0
50.6,-128.1,121.0
50.0,-126.3,275.0
50.0,-126.4,511.0
50.7,-125.7,0.0
50.8,-126.7,54.0
51.8,-125.9,1496.0
50.4,-127.3,108.0
50.5,-126.8,1051.0
50.5,-126.7,554.0
50.5,-125.6,64.0
51.8,-125.4,1825.0
50.7,-127.4,0.0
50.4,-127.4,97.0
50.5,-127.4,325.0
50.2,-126.8,971.0
50.4,-127.2,472.0
52.5,-118.7,2036.0
52.5,-119.4,886.0
52.5,-119.5,1256.0
52.8,-119.0,1505.0
52.7,-119.4,1432.0
52.4,-118.6,1043.0
52.3,-118.7,2177.0
53.0,-120.4,1753.0
53.0,-119.8,2062.0
52.2,-119.0,2360.0
52.1,-119.2,1589.0
50.4,-127.1,976.0
50.3,-127.2,567.0
50.7,-127.6,437.0
50.7,-127.5,93.0
50.5,-126.9,125.0
50.5,-127.3,828.0
50.1,-126.5,847.0
50.1,-126.7,795.0
51.2,-126.6,938.0
51.2,-126.2,83.0
50.3,-127.4,225.0
50.5,-128.1,228.0
51.1,-125.6,5.0
51.1,-125.7,279.0
50.3,-127.7,152.0
50.2,-127.7,818.0
50.1,-127.3,172.0
49.4,-121.4,440.0
49.5,-121.3,1072.0
53.2,-131.8,90.0
53.3,-132.0,318.0
49.7,-121.4,339.0
50.0,-121.3,1841.0
49.9,-121.4,818.0
52.1,-119.4,1004.0
52.2,-119.2,1051.0
52.1,-119.3,685.0
52.6,-119.1,954.0
54.0,-124.1,701.0
53.9,-124.1,718.0
53.9,-124.2,721.0
54.1,-124.9,769.0
54.1,-125.0,812.0
54.0,-125.0,717.0
54.2,-123.8,685.0
53.6,-123.5,861.0
53.5,-124.5,994.0
53.6,-123.6,1007.0
50.0,-126.5,1096.0
50.3,-127.3,731.0
50.3,-127.6,324.0
52.4,-126.4,1797.0
52.5,-125.9,1473.0
52.2,-125.9,2181.0
52.8,-126.5,1309.0
51.9,-126.7,54.0
52.8,-126.1,1200.0
52.6,-125.9,1651.0
52.3,-125.9,1783.0
52.9,-126.4,1204.0
52.5,-125.8,1472.0
52.7,-126.2,1069.0
52.3,-125.8,1120.0
54.2,-125.6,701.0
54.1,-125.2,679.0
49.5,-121.2,512.0
49.6,-122.6,902.0
49.5,-121.9,522.0
49.4,-121.9,1069.0
49.2,-121.3,1568.0
49.4,-122.0,616.0
54.0,-124.8,933.0
53.9,-125.0,1292.0
54.3,-124.8,877.0
54.3,-124.9,1194.0
53.9,-124.8,1050.0
53.9,-124.7,843.0
53.6,-123.9,939.0
53.9,-123.8,766.0
54.1,-124.5,704.0
54.2,-124.3,890.0
53.4,-124.6,1315.0
53.1,-125.0,1142.0
53.8,-124.0,967.0
53.8,-124.9,1024.0
53.6,-124.9,875.0
54.1,-124.1,730.0
53.8,-126.0,917.0
54.3,-125.8,786.0
54.2,-126.3,1291.0
54.4,-125.3,1181.0
54.4,-125.2,1182.0
53.9,-125.9,843.0
53.7,-125.4,1044.0
54.0,-125.2,717.0
54.3,-125.4,1222.0
53.9,-126.0,898.0
53.1,-126.5,1342.0
54.2,-125.2,948.0
53.8,-125.3,947.0
54.1,-125.6,743.0
54.1,-125.9,989.0
54.0,-126.2,717.0
54.4,-126.4,832.0
54.1,-126.2,1084.0
53.9,-125.4,1240.0
49.1,-121.4,1310.0
49.2,-122.3,507.0
49.6,-123.0,1154.0
49.3,-121.9,20.0
53.6,-125.0,918.0
53.9,-124.6,762.0
53.9,-124.0,765.0
53.6,-124.4,1143.0
53.9,-124.4,813.0
53.2,-124.8,1243.0
53.9,-123.9,750.0
53.8,-123.8,915.0
