50,-123,1539.0
49,-123,
50,-122,894.0
57,-125,855.0
57,-127,1776.0
57,-126,1667.0
56,-124,672.0
55,-124,1205.0
55,-123,807.0
56,-125,1490.0
56,-123,1064.0
55,-128,1652.0
56,-128,1011.0
56,-127,1167.0
51,-124,1477.0
51,-123,1543.0
55,-129,276.0
54,-129,884.0
50,-125,0.0
50,-124,37.0
51,-125,963.0
53,-128,215.0
54,-128,1732.0
58,-131,249.0
57,-130,1491.0
60,-129,802.0
59,-130,1398.0
49,-124,324.0
48,-124,
57,-129,1495.0
58,-130,991.0
58,-132,2069.0
59,-128,1460.0
59,-129,1166.0
58,-129,1529.0
59,-132,912.0
54,-123,723.0
53,-123,955.0
48,-123,
49,-125,0.0
52,-122,836.0
54,-122,708.0
55,-122,1603.0
53,-124,1299.0
54,-121,757.0
49,-126,0.0
53,-122,1105.0
50,-127,441.0
50,-126,1076.0
53,-119,1255.0
52,-119,2025.0
53,-120,2548.0
53,-121,1866.0
51,-126,1516.0
51,-128,0.0
51,-127,84.0
52,-126,2413.0
52,-125,1006.0
50,-128,0.0
49,-121,
53,-132,162.0
50,-121,926.0
54,-124,694.0
54,-125,717.0
53,-125,1117.0
53,-126,945.0
52,-127,1665.0
54,-126,810.0
49,-122,
53,-127,1630.0
55,-125,869.0
55,-126,854.0
54,-127,827.0
55,-127,1236.0
56,-126,1408.0
51,-120,1589.0
51,-118,1691.0
51,-119,347.0
50,-120,1385.0
50,-119,1523.0
50,-118,1938.0
56,-120,641.0
56,-121,885.0
56,-122,693.0
55,-120,877.0
49,-119,
49,-120,2008.0
51,-116,2210.0
51,-117,1803.0
51,-115,1566.0
50,-116,2162.0
52,-118,2211.0
52,-123,1157.0
55,-121,901.0
52,-117,3073.0
57,-122,953.0
57,-121,737.0
57,-120,755.0
57,-123,1058.0
58,-123,853.0
58,-122,696.0
58,-121,494.0
51,-121,1256.0
52,-121,1259.0
51,-122,1104.0
58,-124,1290.0
59,-123,496.0
59,-124,537.0
52,-120,1009.0
60,-121,638.0
59,-120,396.0
59,-122,484.0
60,-124,567.0
59,-125,656.0
60,-120,
60,-122,463.0
60,-123,378.0
59,-121,634.0
49,-118,
49,-117,1965.0
50,-117,1565.0
52,-124,1396.0
49,-115,1828.0
50,-115,1661.0
49,-116,
49,-114,1557.0
57,-124,1860.0
58,-126,1470.0
50,-114,1258.0
52,-115,1234.0
53,-117,1630.0
54,-117,947.0
54,-116,987.0
54,-119,1161.0
54,-115,732.0
53,-115,933.0
53,-116,1062.0
53,-118,1913.0
54,-118,1157.0
56,-119,611.0
55,-119,678.0
55,-117,681.0
55,-118,650.0
58,-116,363.0
59,-119,363.0
59,-115,924.0
58,-115,321.0
58,-114,276.0
59,-117,439.0
58,-117,355.0
59,-116,838.0
58,-118,401.0
59,-118,342.0
60,-118,680.0
58,-119,706.0
60,-119,613.0
57,-115,494.0
60,-116,290.0
57,-116,728.0
59,-114,704.0
60,-117,297.0
56,-111,596.0
55,-112,569.0
55,-113,582.0
56,-112,678.0
55,-111,622.0
55,-110,669.0
54,-110,669.0
54,-111,685.0
55,-114,652.0
54,-114,714.0
56,-113,580.0
56,-110,525.0
57,-111,499.0
57,-112,465.0
58,-111,286.0
59,-111,258.0
57,-110,568.0
58,-113,639.0
57,-114,567.0
57,-113,528.0
60,-111,288.0
58,-112,306.0
58,-110,404.0
57,-118,723.0
56,-116,685.0
56,-117,595.0
57,-117,523.0
56,-118,583.0
57,-119,757.0
58,-120,682.0
52,-116,1871.0
56,-114,570.0
55,-116,776.0
55,-115,1043.0
56,-115,647.0
54,-109,522.0
55,-103,335.0
55,-105,357.0
57,-109,475.0
55,-104,402.0
56,-109,421.0
53,-105,451.0
58,-105,522.0
60,-107,497.0
57,-105,535.0
51,-108,601.0
55,-102,359.0
56,-105,447.0
56,-103,363.0
57,-102,336.0
52,-103,609.0
54,-108,551.0
59,-104,378.0
52,-107,520.0
53,-109,562.0
54,-106,538.0
51,-102,536.0
55,-108,452.0
53,-106,482.0
52,-105,561.0
57,-106,563.0
59,-108,399.0
59,-109,310.0
54,-105,597.0
56,-102,371.0
60,-106,442.0
54,-107,494.0
53,-103,586.0
53,-107,524.0
56,-106,466.0
57,-107,520.0
59,-102,388.0
56,-104,411.0
57,-108,476.0
54,-104,397.0
51,-104,629.0
58,-103,451.0
50,-104,580.0
57,-104,426.0
60,-109,420.0
59,-106,316.0
56,-108,455.0
54,-102,281.0
57,-103,355.0
55,-107,509.0
55,-106,440.0
49,-106,
58,-104,413.0
54,-103,270.0
51,-105,533.0
58,-107,481.0
53,-102,326.0
52,-106,530.0
55,-109,704.0
53,-110,614.0
60,-108,482.0
53,-108,586.0
50,-106,685.0
59,-105,360.0
52,-109,666.0
59,-110,209.0
52,-99,277.0
52,-98,217.0
51,-98,281.0
52,-97,217.0
52,-100,259.0
51,-99,259.0
50,-97,234.0
50,-96,270.0
52,-96,288.0
51,-96,259.0
49,-96,
50,-95,340.0
51,-95,348.0
52,-95,309.0
53,-97,243.0
53,-96,290.0
56,-98,236.0
54,-94,255.0
55,-98,183.0
54,-98,220.0
54,-95,240.0
55,-97,208.0
56,-97,174.0
56,-92,149.0
55,-94,174.0
56,-96,194.0
55,-92,141.0
56,-95,168.0
54,-96,253.0
57,-101,358.0
54,-97,239.0
57,-94,100.0
56,-94,139.0
55,-95,216.0
57,-97,284.0
